date,name,category,value
2025-01-01,Pontificia Universidad Católica de Chile,demo,47
2025-01-01,Universidad de Santiago de Chile,demo,25
2025-01-01,Universidad Andrés Bello,demo,20
2025-01-01,Pontificia Universidad Católica de Valparaíso,demo,19
2025-01-01,Hospital Clínico de la Universidad de Chile,demo,19
2025-01-01,Austral University of Chile,demo,17
2025-01-01,Universidad de Los Andes, Chile,demo,14
2025-01-01,Centre National de la Recherche Scientifique,demo,14
2025-01-01,Universidad Santo Tomás,demo,14
2025-01-01,University of Talca,demo,13
2025-01-01,University of Valparaíso,demo,13
2025-01-01,Hospital San Borja Arriarán,demo,13
2025-01-01,University of Concepción,demo,13
2025-01-01,Metropolitan University of Technology,demo,13
2025-01-01,Clínica Alemana,demo,12
2025-01-01,University of O'Higgins,demo,12
2025-01-01,University College London,demo,12
2025-01-01,Center for Climate and Resilience Research,demo,11
2025-01-01,Catholic University of the Maule,demo,11
2025-01-01,Universidad del Desarrollo,demo,11
2025-01-01,San Sebastián University,demo,11
2025-01-01,University of Toronto,demo,10
2025-01-01,Inserm,demo,10
2025-01-01,Universidad de La Frontera,demo,10
2025-01-01,Universidad de Zaragoza,demo,9
2025-01-01,Harvard University,demo,9
2025-01-01,Universitat de València,demo,9
2025-01-01,Universidad Autónoma de Chile,demo,9
2025-01-01,Hospital del Salvador,demo,9
2025-01-01,Universidad de Magallanes,demo,8
2025-01-01,Universidad Bernardo O'Higgins,demo,8
2025-01-01,Advanced Center for Chronic Diseases,demo,8
2025-01-01,University of Buenos Aires,demo,8
2025-01-01,Universidade de São Paulo,demo,8
2025-01-01,Consejo Nacional de Investigaciones Científicas y Técnicas,demo,8
2025-01-01,Diego Portales University,demo,8
2025-01-01,Hospital Luis Calvo Mackenna,demo,8
2025-01-01,Fundación Chile,demo,7
2025-01-01,National Research Centre for the Working Environment,demo,7
2025-01-01,Millennium Science Initiative,demo,7
2025-01-01,University of Groningen,demo,7
2025-01-01,Institute of Ecology and Biodiversity,demo,7
2025-01-01,University of Cambridge,demo,7
2025-01-01,Finis Terrae University,demo,7
2025-01-01,Universidad Mayor,demo,7
2025-01-01,University of Bío-Bío,demo,6
2025-01-01,University of Oxford,demo,6
2025-01-01,Instituto de Salud Pública de Chile,demo,6
2025-01-01,Universidad Peruana Cayetano Heredia,demo,6
2025-01-01,University of British Columbia,demo,6
2025-01-01,McGill University,demo,6
2025-01-01,Universidad Nacional de Córdoba,demo,6
2025-01-01,University of Pennsylvania,demo,6
2025-01-01,KU Leuven,demo,6
2025-01-01,Heidelberg University,demo,6
2025-01-01,Millennium Institute for Integrative Biology,demo,6
2025-01-01,Universidad Nacional Autónoma de México,demo,6
2025-01-01,University of Tarapacá,demo,6
2025-01-01,Universidad Católica del Norte,demo,6
2025-01-01,University of Edinburgh,demo,5
2025-01-01,Charité - Universitätsmedizin Berlin,demo,5
2025-01-01,Université Paris Cité,demo,5
2025-01-01,Clinica Santa Maria,demo,5
2025-01-01,Universidade Federal de Minas Gerais,demo,5
2025-01-01,Centro de Recursos Educativos Avanzados,demo,5
2025-01-01,University of Antofagasta,demo,5
2025-01-01,Millennium Institute on Immunology and Immunotherapy,demo,5
2025-01-01,Fundación Valle del Lili,demo,5
